    98/299     0.52G   0.02879   0.02048  0.005992   0.05526        25       640    0.9835     0.991    0.9946    0.7989   0.02293   0.01406  0.004267
    99/299     0.52G   0.02896   0.02084  0.006407   0.05622        25       640    0.9868    0.9946    0.9948    0.8126   0.02262   0.01399  0.004358
   100/299     0.52G   0.02895      0.02  0.006234   0.05519        11       640    0.9859    0.9906    0.9947    0.8103   0.02268   0.01401  0.004291
   101/299     0.52G   0.02895   0.01973  0.006208   0.05489        13       640    0.9855    0.9892    0.9946    0.8105   0.02275   0.01403  0.004278
   102/299     0.52G   0.02929   0.01992  0.006297   0.05551        16       640    0.9854     0.992    0.9946    0.8058   0.02311    0.0139  0.004363
   103/299     0.52G   0.02912   0.02031  0.006026   0.05546        23       640    0.9841    0.9934    0.9945    0.8185   0.02256   0.01373  0.004204
   104/299     0.52G   0.02836   0.01921  0.006013   0.05358         3       640    0.9859    0.9926    0.9945    0.8134   0.02252   0.01375  0.004239
   105/299     0.52G   0.02875   0.02036  0.006274   0.05538        33       640    0.9884    0.9901    0.9947    0.8205   0.02217   0.01372   0.00422
   106/299     0.52G   0.02896    0.0203  0.006143    0.0554        14       640    0.9861    0.9927    0.9949    0.8184   0.02216   0.01354  0.004207
   107/299     0.52G   0.02971   0.02032   0.00605   0.05608        17       640    0.9877    0.9865    0.9949    0.8022   0.02286   0.01375  0.004198
   108/299     0.52G   0.02989    0.0193  0.006099   0.05529        12       640    0.9838    0.9895    0.9947    0.8229   0.02222   0.01373  0.004223
   109/299     0.52G   0.02836    0.0202  0.006014   0.05457         9       640    0.9818    0.9917    0.9948    0.8097   0.02224   0.01358  0.004227
   110/299     0.52G   0.02925   0.02021  0.006216   0.05568        29       640    0.9818    0.9938    0.9952    0.8123   0.02295   0.01369  0.004234
   111/299     0.52G   0.02844   0.01971  0.005837   0.05399        29       640    0.9868    0.9922    0.9951    0.8149   0.02216   0.01356  0.004279
   112/299     0.52G   0.02901   0.01992  0.005889   0.05482         6       640    0.9832    0.9969    0.9952    0.8216   0.02242   0.01375  0.004258
   113/299     0.52G   0.02924   0.02006  0.006231   0.05553        22       640    0.9856    0.9892    0.9949    0.8148   0.02277   0.01403  0.004257
   114/299     0.52G   0.02793   0.01996  0.005847   0.05373        30       640    0.9853     0.993    0.9949    0.8238   0.02187   0.01345  0.004174
   115/299     0.52G   0.02725   0.01977  0.005815   0.05284        15       640    0.9825    0.9909    0.9946     0.826   0.02201   0.01345  0.004153
   116/299     0.52G   0.02768   0.01928  0.005942    0.0529        19       640    0.9853    0.9912    0.9947    0.8242   0.02183   0.01351  0.004193
   117/299     0.52G   0.02835   0.01998  0.006027   0.05436        20       640    0.9871    0.9894    0.9946    0.8235   0.02231   0.01353  0.004159
   118/299     0.52G   0.02985   0.01998  0.006314   0.05614        25       640     0.987    0.9918    0.9948    0.8184   0.02206   0.01365  0.004188
   119/299     0.52G   0.02873   0.01992  0.006248    0.0549         6       640    0.9791    0.9953    0.9948    0.8285   0.02154   0.01346  0.004223
   120/299     0.52G   0.02781   0.01962   0.00585   0.05328        18       640    0.9845    0.9889    0.9945     0.828   0.02176   0.01319  0.004154
   121/299     0.52G   0.02879    0.0204   0.00634   0.05553        11       640    0.9837      0.99    0.9947     0.831   0.02183   0.01341   0.00422
   122/299     0.52G    0.0276   0.01972  0.005983    0.0533        31       640    0.9866    0.9912    0.9949    0.8311   0.02176   0.01338  0.004091
   123/299     0.52G   0.02841   0.01972  0.005893   0.05403        17       640    0.9823    0.9943    0.9948    0.8293   0.02146    0.0133  0.004162
   124/299     0.52G   0.02702   0.01909  0.005895     0.052        12       640    0.9822    0.9929    0.9947    0.8348   0.02138   0.01317  0.004144
   125/299     0.52G    0.0272   0.01864  0.005838   0.05167        14       640    0.9825    0.9924    0.9948    0.8332   0.02143   0.01317  0.004162
   126/299     0.52G   0.02761   0.02019  0.006205     0.054        23       640    0.9876     0.988     0.995      0.83   0.02136   0.01311  0.004144
   127/299     0.52G    0.0277   0.01943  0.005615   0.05275        21       640    0.9848    0.9923    0.9949     0.828   0.02151   0.01318  0.004098
   128/299     0.52G   0.02747   0.01923   0.00573   0.05243        24       640    0.9802    0.9949     0.995    0.8344   0.02118    0.0131  0.004165
   129/299     0.52G   0.02746   0.01898   0.00557   0.05201         9       640    0.9822    0.9962     0.995    0.8271   0.02157   0.01321  0.004159
   130/299     0.52G   0.02729    0.0192  0.005884   0.05238         9       640    0.9826    0.9919    0.9948    0.8314   0.02138   0.01338   0.00415
   131/299     0.52G   0.02701   0.01955  0.005953   0.05252         9       640    0.9824    0.9966    0.9951    0.8387   0.02101   0.01286  0.004105
   132/299     0.52G   0.02724   0.01945  0.005877   0.05257        27       640    0.9831    0.9953    0.9951    0.8374   0.02128    0.0131  0.004092
   133/299     0.52G    0.0272   0.01867  0.005637   0.05151        12       640    0.9884    0.9905    0.9949    0.8457     0.021   0.01283  0.004069
   134/299     0.52G   0.02725   0.01931  0.005828   0.05239        30       640    0.9872    0.9912    0.9953      0.84   0.02088   0.01291  0.004135
   135/299     0.52G   0.02696   0.01943   0.00593   0.05232        13       640    0.9818    0.9962    0.9953     0.841   0.02103   0.01297  0.004103
   136/299     0.52G   0.02617   0.01848  0.005768   0.05042        14       640     0.992    0.9874    0.9954    0.8417    0.0207   0.01283   0.00408
   137/299     0.52G   0.02658   0.01872  0.005823   0.05113        26       640    0.9861    0.9955    0.9954    0.8362   0.02094   0.01282  0.004044
   138/299     0.52G   0.02704   0.01938  0.006208   0.05263        29       640    0.9889    0.9914    0.9953    0.8424   0.02048   0.01268  0.004028
   139/299     0.52G   0.02813     0.019  0.006102   0.05323         8       640    0.9905    0.9919    0.9954    0.8373   0.02086   0.01293   0.00404
   140/299     0.52G   0.02708   0.01872  0.006013   0.05181        36       640    0.9868    0.9943    0.9954    0.8394   0.02088    0.0128  0.004042
   141/299     0.52G   0.02618   0.01799  0.005894   0.05006        12       640    0.9858    0.9944    0.9954    0.8426   0.02056    0.0128  0.004054
   142/299     0.52G   0.02584   0.01804  0.005613    0.0495        13       640    0.9919    0.9921    0.9955    0.8471   0.02054   0.01283  0.004048
   143/299     0.52G   0.02664   0.01918  0.005913   0.05173        24       640    0.9926    0.9887    0.9952     0.845   0.02051    0.0127  0.004039
   144/299     0.52G   0.02754   0.01962  0.006021   0.05318        33       640    0.9884    0.9934    0.9954    0.8448   0.02062   0.01289  0.004067
   145/299     0.52G   0.02707   0.01936   0.00624   0.05268        28       640    0.9879    0.9918    0.9954    0.8492   0.02053   0.01267  0.004022
   146/299     0.52G   0.02565   0.01808  0.005813   0.04955         6       640    0.9858    0.9923    0.9954    0.8457   0.02033   0.01256  0.004029
   147/299     0.52G   0.02564   0.01817  0.005661   0.04948        10       640    0.9888    0.9904    0.9955    0.8452    0.0204   0.01245  0.003974
   148/299     0.52G   0.02672   0.01932  0.005897   0.05193        17       640    0.9859    0.9939    0.9955    0.8454   0.02031   0.01277  0.003982
   149/299     0.52G   0.02647   0.01837  0.005696   0.05054        17       640    0.9881    0.9871    0.9946    0.8336   0.02096   0.01286  0.003983
   150/299     0.52G   0.02634   0.01851  0.005632   0.05048        14       640    0.9909    0.9904    0.9955    0.8428   0.02064   0.01266  0.004009
   151/299     0.52G   0.02634    0.0184  0.005557    0.0503        37       640    0.9909    0.9916    0.9955    0.8454   0.02038   0.01257     0.004
   152/299     0.52G   0.02595   0.01871  0.005588   0.05025        15       640    0.9876    0.9947    0.9952      0.85   0.02038   0.01248  0.003999
   153/299     0.52G   0.02623   0.01784   0.00576   0.04983        30       640    0.9914    0.9928    0.9952    0.8479   0.02024    0.0124  0.003992
   154/299     0.52G   0.02611   0.01862  0.005966   0.05069        20       640    0.9887    0.9916    0.9951    0.8458   0.02035   0.01244  0.004003
   155/299     0.52G   0.02613   0.01882  0.005536   0.05049        21       640    0.9882    0.9935    0.9953    0.8475   0.02037   0.01253  0.004008
   156/299     0.52G   0.02653   0.01922  0.005854    0.0516        26       640    0.9865    0.9918    0.9953    0.8514   0.02015   0.01254  0.003977
   157/299     0.52G   0.02541   0.01785  0.005552    0.0488        16       640    0.9851    0.9978    0.9955    0.8548   0.01993   0.01244  0.003946
   158/299     0.52G   0.02564   0.01777  0.005624   0.04903         3       640    0.9903    0.9901    0.9953    0.8473   0.02014   0.01228  0.003937
   159/299     0.52G   0.02554   0.01811  0.005585   0.04924        30       640    0.9872    0.9906    0.9953    0.8452   0.02004   0.01237  0.003929
   160/299     0.52G    0.0258   0.01863  0.005472   0.04991        20       640    0.9908    0.9945    0.9955    0.8496    0.0202   0.01247  0.003947
   161/299     0.52G   0.02619   0.01911  0.005603    0.0509        18       640    0.9925     0.992    0.9953    0.8485   0.02026   0.01262  0.003924
   162/299     0.52G   0.02485   0.01758  0.005586   0.04801        18       640    0.9882     0.996    0.9952    0.8483   0.02022   0.01254  0.003941
